,tweets
210,"""*After* White House officials learned Hicks was symptomatic and had close contact with the President, the President attended a fundraiser in New Jersey where he did not wear a mask and interacted with \"""
211,"""Man. Woman. Person. Taxes. Jail."""
212,"""Donald Trump knew that Hope Hicks had the #coronavirus—and he himself had #COVID19 symptoms—when he spewed this lie and exposed at least 100 people to the virus.\n\nCriminal negligence.🤬\n\nVOTE HIM OUT.\n\n#TrumpCovid #TrumpVirus #VoteHimOut #VOTE"""
213,"""One month."""
214,"""@QuickTake ShitShow.  Everything trump does he messes up.  Even a live national debate smh who does that???\n\n#trumpisracist #voteblue https://t.co/UwpBEIRoPT"""
215,"""“Do it, say it.” \n\nBiden just asked the president of the United States to condemn white supremacists and he did not."""
216,"""@Scaramucci “Stand by”??? This white supremacist is literally holding “his troops” back and claiming them as his own!!! #Trumpisracist       #Debates2020"""
217,"""I denounce white supremacy! See that was so easy"""
218,"""📺 NEW VIDEO \n\nTrump does not only refuse to condemn white supremacists but he encourages them.\n\n#EndTrumpsHate https://t.co/YXHMrO6HmK"""
219,"""They have turned our country into a laughing stock. #VoteBlueToSaveAmerica #VoteHimOut #SuperSpreader"""
220,"""@brad_dickson Fox should be taken off the air #VoteHimOut"""
221,"""Here’s how wrecked Trump’s credibility is at this point: I’ve got a cellphone full of texts from people who aren’t sure whether to believe Trump actually has covid. “He lies so much,” one friend just texted. “Is he just doing this to get out of the debates?” others are texting."""
222,"""I just got off the phone with President Trump. He was upbeat and told me that he appreciates all the prayers and support from everyone.\n\nOur president is strong and will beat the virus!"""
223,"""I bet there are others......  #peetapes"""
224,"""@realDonaldTrump come on Murcia 🇺🇸  #VoteHimOut #MakeAmericaGreatAgain https://t.co/4Ym9HbXhPO"""
225,"""My son and I went on a hike today and saw this black squirrel. @realDonaldTrump would hate this squirrel...because the squirrel is black...and Trump is a racist. #TrumpIsRacist #TrumpIsALoser https://t.co/BHo1jwyuPc"""
226,"""Check it out...\nWhat Class is this &amp; who thinks a mask is needed??\n\n#VoteHimOut  #VoteBlue https://t.co/VhN6yfyPZV"""
227,"""@charliekirk11 Sort of the death wish Trump inflicted on 208k dead Americans. Peddling a hoax narrative. And undermining efforts by medical professionals. All for the sake of re-election. He knew. He lied. Americans died. #VoteHimOut #Trump2020"""
228,"""The Trump campaign won't pull down its negative ads, coming after the Biden campaign did so following President Trump's Covid-19 diagnosis https://t.co/Ezmw8EM3fZ https://t.co/mc0NPxAkyN"""
229,"""🚨🚨Tonight at 7pm:🚨🚨\n\nEXCLUSIVE: Channel 4 News investigation reveals a huge Trump campaign data leak, exposing how 3.5 million Black Americans were listed as ‘Deterrence’ - to try to stop them voting in 2016.\n\n#DeterringDemocracy https://t.co/wkxKfbynu6"""
230,"""@prchovanec Opus Dei/Notre Dame School of Law = superspreader. ACB was infected but didn’t inform her fellow justices on the 7th Circuit."""
231,"""And then there is this!  #TrumpHasCovid but he is really sick!! #VoteHimOut #BidenHarrisLandslide2020 \nhttps://t.co/TKjQNiUlRG via @politico"""
232,"""“Stand back and stand by” you finished yourself right then and there. Showed the world what you are about."""
233,"""https://t.co/Oo5CYOaKcz\nThis asshole lies everyday to get away with shit. \nAll of this “drama” sounds very pathetic \nThis circus is not over yet ....  \n\n#voteEarly safely \n#VoteHimOut"""
234,"""Can we please keep #Trumpisracist trending and not let this Covid thing distract?"""
235,"""#BidenWonTheDebate by actually debating rather than spewing lies and attempting to discredit the election process. Also he did not refuse to denounce white supremacists #TrumpIsLosing #Trumpisracist"""
236,"""Volume UP\n\n#VoteHimOut \n\nfeat @somekindawonder https://t.co/0OngBedUwg"""
237,"""My 73 year young, BAD ASS Mom penned this. Thankful to have been raised by such a smart woman.  #VOTE  #VoteBlueToSaveAmerica #VoteHimOut https://t.co/oHN0NJfNsL"""
238,"""Trump is racist. He promoted Birtherism for eight years, He fought against the innocent central park five, he told congress women of color to go back to their own countries when they were born here, he will end DACCA and immigration.#TrumpIsRacist"""
239,"""Bob Woodward on Donald Trump’s Presidency https://t.co/ZMtxX0gdyb via @YouTube \n#TrumpKnewAmericansDied \n#TrumpIsRacist \n#TrumpMeltdown"""
240,"""@JoyAnnReid Well....his stunts are truly amazing aren't they? What's next from the .... #VoteHimOut #BidenHarrisToSaveAmerica #TrumpCovid https://t.co/nnARBDfn9v"""
241,"""@Jim_Jordan If he can't protect himself, he can't protect America! \nWrestle with that @Jim_Jordan \n#VoteHimOut \n#COVIDCaughtTrump"""
242,"""Why is it that Trump's name is the first and only \"""
243,"""If they can’t keep themselves safe, how can you expect them to ever keep the country safe? #VoteHimOut"""
244,"""@nprpolitics Of course he is: scammer!\n#VoteHimOut2020 \n#VoteHimOut"""
245,"""A senior official confirms to CNN that President Trump's campaign manager Bill Stepien has tested positive for the coronavirus."""
246,"""Right-wing repugnant hypocrisy biting them in the #COVID19 #VoteHimOut"""
247,"""The @GOP and @realDonaldTrump are coordinating an attack on the American 2020 Election System by using voter suppression tactics. #VoteHimOut https://t.co/QZ6B3WPvSK"""
248,"""I don't have a platform but I just want people to think of their dream world/ what they want to see changed &amp; vote based on that... maybe acceptance? No racism? Equality? Nobody lying to us? A change?... #BidenHarris2020 #vote #VoteHimOut"""
249,"""The only thing more blatantly racist than Trump refusing to condemn white supremacists is listening to people trying to defend his words as not being racist!\n#TrumpIsRacist\n#VoteHimOut\n#PrayForAmerica"""
250,"""Yo this election is rigged! Wtf is happening??!!! #COVID19 #Trumpisracist #PresidentialDebate #EricaOurPride #Debate2020 #debate https://t.co/H2Cy2YYlOm"""
251,"""@realDonaldTrump We needed another stimulus 3 months ago. Senate is holding it up as usual. People with NO healthcare, no food, and getting evicted. Enjoy the taxpayer's healthcare that you have. #TrumpKnewAndDidNothing #VoteHimOut"""
252,"""I noticed trump still wasn't able to denounce white nationalism and  crazy ass militias.\n#TrumpIsRacist"""
253,"""Class-Based System:\n\nany society with a complex division of labor will sort people into different categories within some kind of power hierarchy.  \n\n#BlackLivesMatter  #workingclass #latinasforbiden   #MiddleClassLivesMatters"""
254,"""He was literally asked to denounce white supremacy and he couldn’t do it. Damn. #Trumpisracist #Debates2020"""
255,"""Clap it up for 31 days until the election. Vote him out. #calvertdems #gotv #voteblue2020 #bidenharris2020 #kamalaharris #votehimout @ Calvert County, Maryland https://t.co/t6uy2crNNu"""
256,"""The Proud Boys got Trump's message tonight and are \"""
257,"""@realDonaldTrump PASS THE CORONAVIRUS RELIEF PACKAGE NOW! As you sit getting the best care possible the rest of the country is DYING! \n\nOVER 212,000 dead Americans and you are talking about stimulus from a hospital bed! \n\n#VoteHimOut #GOPSuperSpreaders \nhttps://t.co/AJns1TLV24"""
258,"""@JoeBiden Remember to #VoteBidenHarris2020 to #VoteHimOut \n== VOTE ==&gt; https://t.co/LrFRe4c0AC  https://t.co/iEy5kuDRT4 https://t.co/eKRAI2kgMo"""
259,"""Joe Biden: \"""
260,"""I found is so frustrating that he was not called out on his lies, misleading statements and hyperbole which is ‘the biggest anyone has ever seen’. ‘This is the best’ song anyone has ever written ‘in the history of the world.’ #MAGA  #VoteHimOut  https://t.co/1vT2XWyOgT"""
261,"""After putting countless lives at risk for months, now they wear masks. https://t.co/cusnKiEmRR"""
262,"""Trump has disavowed white supremacy, David Duke, the KKK, and Neo-Nazi’s numerous times over the years.\n\nJoe Biden &amp; the Democrats are continuing to push a false narrative to further divide America.\n\n⬇️Watch ⬇️ https://t.co/7KGczNmEZi"""
263,"""@realDonaldTrump says he has COVID.\nHe may; there is no reason to believe him since he lies about everything.\nNot sure what this means for his re-election strategy.\n\nIn any case we must #VoteHimOut along with his enablers in the @GOP leadership in 32 days. https://t.co/48iZVFVjEK"""
264,"""For those of you not from Texas, Harris County includes Houston, and has more people than 24 states.  It will have one drop box."""
265,"""Stand back and stand by..... WOW!!!! #Trumpisracist #Debates2020"""
266,"""Looks like the God Karma just paid a visit to the Governor Did he think his insane anti business policies wouldn't catch up to him #VoteHimOut\nLeft Wing Governor Of Washington State Freaks Out As Boeing Moves Production To South Carolina https://t.co/gl1aB8wapQ via @gatewaypundit"""
267,"""@realDonaldTrump you are a bully and a liar. I honestly don’t understand how ppl support you. Last night was an embarrassment. You divide us (the American ppl) at every corner. Here’s your proof. #AmericaOrTrump #VoteBidenHarrisToSaveAmerica #Trumpisracist"""
268,"""Trump won't denounce white supremacy and racism... nothing's changed over the past [74] years. #Debates2020 #Trumpisracist @realDonaldTrump @JoeBiden"""
269,"""@SteveSchmidtSES I don’t always agree w/ ur politics, but you hit this nail squarely on the head. And I have to say, if I ever need to be taken down, I hope that I can be done as eloquently as you’ve just done for Ms. Coulter. It was a masterpiece! #VoteHimOut #BidenHarris2020 #NotMyPresident"""
270,"""The Proud Boys on Telegram have now posted an image with its logo and Trump's remark. https://t.co/xSySGrohcm https://t.co/UAJFsKCsbX"""
271,"""That ain't @realDonaldTrump...\n\n#VOTE \n\n#VoteHimOut"""
272,"""When a madman is president...\n\n#TrumpLied200KDied \n@MeidasTouch\nhttps://t.co/wkNXoBwDue"""
273,"""The question was about race relations in the country and #trump went on a rant about law and order. Very telling. #PresidentialDebate2020 #Trumpisracist"""
274,"""maybe 2020 ain’t so bad after all #TrumpHasCovid #COVID19 #VoteHimOut https://t.co/r781dbBDrR"""
275,"""@realDonaldTrump How is it that you’re claiming(lying) about not letting POC down when your a racist?  “Infested”-“they don’t look Indian to me”-“sh*thole countries”-“go back to your hut” are things you’ve said! You’ve let the country down “On many sides” #TrumpIsRacist #BidenHarris2020"""
276,"""You had a golden opportunity and both Biden and Chris Wallace stopped talking and you didn't do it #Trumpisracist"""
277,"""So everyone saw Trump refuse to denounce white supremacy on live television, right?"""
278,"""See you drank the kohl aide.  #VoteHimOut #trumpIsRacist"""
279,"""I've never seen someone who is \"""
280,"""We are watching an activist media and political base wish death upon Trump. Never forget this."""
281,"""@DanKEberhart There are 210,000 reasons to delay.\nWhat's the right level of Covid infection in the Senate?\n#FillTheICU\n#VoteHimOut"""
282,"""Got my @lucymcbath yard sign. Let’s do this! 2 days left to register to vote in GA: https://t.co/f6N4bPYQUE #VoteHimOut #VOTE https://t.co/H2YD1J9cX9"""
283,"""Sign of the times and amount of trust I have for @realDonaldTrump: 1st thought after hearing he’s Covid +, that he’s trying to stage some sort of publicity stunt and pull a fast one on the American public #votehimout #BidenHarris2020 #standbackandstandby"""
284,"""I want to defend &amp; preserve our nation’s historic values. Our opponents stand with rioters – I stand with the heroes of Law Enforcement. Biden says Antifa is just an idea. Ideas don’t assault cops &amp; burn down buildings. Antifa is a domestic terrorist org. https://t.co/ZSnRJ8DaQo"""
285,"""@RepMcCaul was flying on a commercial fligjt without a mask.\nTHEY JUST DON'T CARE IF YOU DIE!! Donate to his Opponent here.\n#VoteHimOut #DemCast \nhttps://t.co/hJbkz0JiRA"""
286,"""Everyone: JUST SAY IT! \nTrump: what do you want me to say \nEveryone: #Trumpisracist"""
287,"""This is not impressive or encouraging.  For some reason, Trump’s team still feels the need to spread misinformation about his health.  **alarm bells**\n\n#TrumpKnew #TrumpHasCovid #GOPSuperSpreaders #Trump #maga2020 #RoseGardenMassacre #BidenHarris2020 #VOTE  #VoteEarly"""
288,"""Shameless lies. Really quite astounding."""
289,"""NYT on Republican internal polling: “Multiple party strategists said their polling in the two nights after the presidential debate had revealed substantial slippage, and not just at the top of the ticket.” https://t.co/trrpgFqAi8"""
290,"""EXCLUSIVE—Trump’s election campaign wanted to deter millions of Black Americans from voting in 2016.\n\nThe ‘Deterrence’ project can be revealed after Channel 4 News obtained the database used by Trump's digital campaign team #DeterringDemocracy\n\n📺WATCH NOW https://t.co/ln6GqReCLv"""
291,"""This debate though baybeeee #PresidentialDebate #BidenVsTrump #TrumpisRacist https://t.co/7pZ5bmMz5T"""
292,"""#TrumpIsRacist\nVote #BidenHarris2020 to end the nightmare #TrumpOut https://t.co/agA07mAtXH"""
293,"""Are they really asking @realDonaldTrump the poster boy for the KKK what he thinks about sistemic racism? #Trumpisracist #DebateTuesday"""
294,"""@GertSwart5 @washingtonpost In case you missed it... Only one didn’t denounce white supremacy on live national television.  \n\nConclusion #TrumpIsRacist if you’re not denouncing trump’s behavior, you’re a racist too.\n\n#WeAreBetterThanThis #Vote https://t.co/wdOgrU71tM"""
295,"""@JasonMillerinDC John Zogby Strategies - aren't they owned by Telemundo? #VoteHimOut #LockHimUp https://t.co/ot3Q7flvRl"""
296,"""It’s unreal that @realDonaldTrump refused to condemn white supremacy. He is anembarrassment to the USA!!!  He asked the white supremacists to stand back and stand by. He is unfit.  How can you vote for that? #trumpIsRacist #BidenWonTheDebate #AmericaOrTrump"""
297,"""@HamillHimself Karma for the win!!\n\nHillary warned us about everything. Yet here we are with this fusty nut with no kernel. #VoteHimOut"""
298,"""Need some get-it-together music this afternoon. Starting with Van “the man” Morrison: Tupelo Honey."""
299,"""Did he just tell the white  supremacists to stand back and STAND BY??? #Trumpisracist #Debates2020"""
300,"""ALL. OF. THIS!!!! \n#VoteHimOut https://t.co/2W0zLZtSrK"""
301,"""No matter what happens #VoteHimOut #VoteBidenHarrisToSaveAmerica https://t.co/XQGDkkbcXq"""
302,"""Why won’t @realDonaldTrump condemn white supremacy??  #Trumpisracist #WhiteSupremacy #debates"""
303,"""If he recovers, he will proclaim that it was no big deal-even if it was.\n\nDon’t worry about it. \n\nStay focused on voting his butt out. \n\nElection Day is a month away. \n\nThere’s work to do. \n\n#VoteHimOut"""
304,"""A view from rural Oklahoma\n#VoteHimOut \n@ProjectLincoln https://t.co/QCX8W9zcAI"""
305,"""Who is running this debate? Trump can’t call out the KKK and racists to stop. #2020PresidentialDebate #Debates2020 #Trumpisracist"""
306,"""@erikhalvorsen18 @neeratanden I was trying to come up with some kind of end-of-days allegory for this superspreader event, but decided it was easier to just vote against them."""
307,"""How is denouncing white supremacy something the President should have to be asked to do?  #Trumpisracist"""
308,"""We shall #VoteHimOut in 1 month. https://t.co/RLnM6UOL7t"""
309,"""@CNN Okay.... all this trump wasn’t clear, he needs to be specific or I’m not sure if he misspoke needs to stop. He answered with Proud boys, stand down / stand by. How much clearer does one need his answer to be? It👏🏾was👏🏾clear! #TrumpWasClear #TrumpIsRacist https://t.co/lc2MA0TIm1"""
310,"""@Evans_CFA_SEIML @ianbremmer That's just in the last 24 hours. Imagine the exponential growth over the next couple of weeks."""
311,"""trump couldnt/wouldnt denounce white supremasict. #TrumpIsRacist"""
312,"""@DemocracyInn Trump's campaign... #VoteHimOut #Biden2020 https://t.co/lFxkVKvBpa"""
313,"""@johnrobertsFox just won the fucking day!!! 💪👏\n\n#Debates2020 #TrumpIsRacist"""
314,"""This would mean the president was diagnosed the MORNING AFTER THE DEBATE AND NO ONE TOLD THE BIDEN CAMP OR DEBATE ATTENDEES!!!!!!!!!!!"""
315,"""Joe Biden “Antifa is an idea.”   Wait what?  Come on man!"""
316,"""Are we still going to pretend the GOP isn't racist AF? #VoteThemOut #TrumpIsRacist #GOPComplicitTraitors"""
317,"""@lalahhathaway What a victim.........#VoteHimOut https://t.co/EYGMhBpSam"""
318,"""A moment to behold. \n\nThe president when asked to denounce white supremacists said, \"""
319,"""@KyleJamesHoward I’m with you. Saying he has COVID is the only way to distract from refusing to denounce white supremacy and the #melaniatapes. #TrumpIsRacist"""
320,"""Trump refused to condemn the white supremacists.. #Trumpisracist #Debate2020 #BidenHarris2020ToSaveAmerica"""
321,"""Never forget: if the ghoulish GOP hadn’t been in such a rush to deny RBG her dying wish, none of this would be happening. There would have been no nomination, no super spreader ceremony, no spread. They brought this on the nation through their total lack of integrity and decency."""
322,"""Yes please nobody post #TrumpIsARacist and keep it trending. That would be awful and would affirm Trump's decades-long history of racism as showcased in our video using his very own words and actions!"""
323,"""@realDonaldTrump Feels good to vote out hate and racism. #VoteHimOut https://t.co/u6NKQ0pVbW"""
324,"""I hope all these Trump supporters are fucking embarrassed after he was gloating about Biden wears “the biggest mask he’s ever seen” and how “he’d be speaking 200 ft away and still would wear a mask” and now tested positive for Covid. Embarrassing leadership skills. #VoteHimOut"""
325,"""Democrats suspending negative ads against Trump while Trump ramps up negative ads and fundraising against Biden/Harris (and even Obama).\n\nBiden's campaign MUST continue.\n\n200,000+ dead.\n\n40,000 new infections daily.\n\n$400m in personal foreign debt with no explanation."""
326,"""You’re fired!  (Get well soon)\n\n#TrumpHasCovid \n#VoteHimOut https://t.co/7KBgH2FJxL"""
327,"""When Hillary Clinton got sick in 2016, Trump mocked her.\n\nWhen Trump got sick in 2020, Joe Biden wished him well. \n\n#VoteHimOut #VOTE https://t.co/qQ6UoPzuAF"""
328,"""The footage of the Trump family arriving for the debate, unmasked, opposed to the Bidens, masked, tells you everything you need to know about the Trump family.\n\nThey're arrogant, ignorant, entitled.\n\nUndeserving of your vote.\n\n#VoteHimOut"""
329,"""Lincoln Project won't pull anti-Trump ads, vows to \"""
330,"""Who's been running it for the last 4 years?\n\n#VoteHimOut \n\n#VOTE"""
331,"""Trump bulldozes his way through debate with mix of attacks, insults and falsehoods https://t.co/YytSGDPnrV"""
332,"""#TrumpIsRacist\nVote #BidenHarris2020 to end the nightmare #TrumpOut https://t.co/EyKzM6u3gM"""
333,"""6) These 3 people at the #SCOTUS nomination event have tested positive for #COVID19 in the last 24 hours. \n\n📌Senator Mike Lee\n📌Notre Dame President Jenkins\n📌Melania Trump\n\nWho else will? It is inevitable there will be more. https://t.co/6eiuyriVF4"""
334,"""Trump is an embarrassment to this country. He hits below the belt. You don’t personally attack a man’s children. Way too aggressive and unpresidential! He can’t follow rules just like the past 4 years! #PresidentialDebate #VoteHimOut #TrumpIsRacist"""
335,"""Finally Friday in Australia. Trump has the virus. A ploy I think. So he can avoid another shit-show debate...  #VoteHimOut #TrumpDeathToll210K https://t.co/BKE0FHiMBg"""
336,"""This is what a failed presidency looks like. #VoteHimOut @realDonaldTrump #TrumpHasCovid #TrumpVirus"""
337,"""Can Chris Wallace be replaced with a mom who’s been home with her kids since March? #Debates2020"""
338,"""@realDonaldTrump This Is 9/12/20. The day I buried my 51 year old sister! A Mother, US Marine, and Nurse! All while she laid on a ventilator for months dying.U laughed &amp; scoffed at ppl wearing mask! U called it all hoax!U knew since Feb how deadly this is and you lied! #TrumpCovid #VoteHimOut https://t.co/D2xyh8jrPg"""
339,"""@GaryGrumbach Trump will go to any lengths. #VoteHimOut #BidenHarris2020ToSaveAmerica"""
340,"""A sick racist is still a racist. Keep the pedal to the metal.  He's gotta go."""
341,""".@realDonaldTrump was the dominant force last night. \n \nWhile Joe Biden dodged questions and name called, President Trump outlined to the American people how his policies will continue to #MakeAmericaGreatAgain!"""
342,"""@GOP @realDonaldTrump Yes he is a bully. And he proved the GOP is pro fascist. A pro racism party in the midst of social distress due to racial upheaval. trump say stand by to a group whose initiation is to beat someone up for the cause.\n\n#TrumpIsRacist and the GOP approves. https://t.co/2GtdX9rs5m"""
343,"""@Kris_Sacrebleu Did they try Clorox and light before they administered #remdesivir to Trump?\n\nWhat about herd immunity? I thought he wanted us to try herd immunity.\n\nIf he’s better than our herd, #VoteHimOut."""
344,"""Do Not be bullied or shamed into silence. #AmericaOrTrump #Vote and #VoteHimOut https://t.co/4GOYKnpgV3"""
345,"""The American people want LAW &amp; ORDER — Joe Biden won’t even say those words!"""
346,"""Y’all go vote so we can get this orange mf outa here 🙄 #VoteHimOut https://t.co/CE1PxDaFu4"""
347,"""@brithume trump's \"""
348,"""1/2: Our President and First Lady have tested positive for COVID-19, however, rest assured they are both fine and completely asymptotic. The President is in very good health and has NO comorbities."""
349,"""@CNNPolitics What did you expect?\ntrump and his trolls are the scum of America.\nWill need a generation to undo what this guy did in 4 years\n#VoteHimOut"""
350,"""Imagine the bad faith and intellectual dishonesty required to pretend - after the WH withheld info, provided inaccurate info, shared contradictory info, corrected their own bad info - that the problem is the media."""
351,"""\"""
352,"""Don’t support these brands #gotv #fucktrump #votehimout https://t.co/IJf8qXVjOi"""
353,"""Just curious #trump #vote #VoteHimOut https://t.co/Li7sVL8SZD"""
354,"""@TMZ It’s too late who gives a DAMN what the Incompetent Lying Racists says. He put #Biden at risk for Covid! God doesn’t like Ugly! #TrumpIsRacist #RoseGardenMassacre"""
355,"""President Trump Finally Condemns All White Supremacists https://t.co/gOC0OoH3ST"""
356,"""Trump claims he has done more for black peoples than Lincoln. Then explain this intern group picture! #TrumpIsRacist https://t.co/ielYAhZ7YN"""
357,"""He wouldn't just say he condemns them.  #Trumpisracist #Debates2020"""
358,"""Here’s trump &amp; his hateful misogyny mocking Hilary when she was ill.\n\nSeems this giant man can put our entire country at risk w/ millions of infections bc he refuses to wear a simple mask, but God forbid anyone criticize him for that.\n\n#VoteHimOut 🇺🇸 \nhttps://t.co/iOGeVB9Cs7"""
359,"""Did a thing today.\n\n#VOTE #VoteHimOut https://t.co/p1mfwqfM3a"""
360,"""Trump refuses to condemn white supremacist groups. Told the Proud Boys to ‘stand back and stand by’ #Debates2020 \n\n https://t.co/Bi4y9smnAf"""
361,"""I hope everyone is having a good weekend!\n\nVote the Republicans out. All of them. Every single one. We're not gonna survive their corruption any longer. They have made it clear the only people worth saving are wealthy white old men. No Trump! No KKK! No fascist USA!🖕 #VoteHimOut https://t.co/MveY9MTHlG"""
362,"""Because he is their leader #trumpisracist"""
363,"""WATCH: Fox News' John Roberts tears into Trump defenders over white supremacy comments.\n\n\"""
364,"""On Fox News, @johnrobertsFox is visibly angry that @PressSec won't offer a clear denunciation of white supremacy: \"""
365,"""You heard it from the asses mouth. Trump wants the proud boys to stand by. He couldn’t condemn them, so he supports them. \n\n#Trumpisracist"""
366,"""One of these recent events is not like the other: compare the House of Representatives’ masked-up, physically distanced #NotoriousRBG Lying In State ceremony to Trump’s maskless, crammed #SuperspreaderACB Rose Garden party. https://t.co/Qn8JJq8T7f"""
367,"""It is what it is https://t.co/gOyxBWQB2h via @PalmerReport #VoteHimOut"""
368,"""@nytimes “Stand by”??? This white supremacist is literally holding “his troops” back and claiming them as his own!!! #Trumpisracist       #Debates2020"""
369,"""If you're a minority &amp; u support #trump, just 1 question. Why? He doesn't care if you or a family member gets discriminated against or worse, MURDERED! He's a white supremacist &amp; gave orders to white supremacist groups to wait 4 his next order &amp; you're the target. #TrumpIsRacist"""
370,"""Such a proud moment right??\n#TrumpRiots #Trumpisracist #VoteBidenHarrisToSaveAmerica"""
371,"""@IvankaTrump Guess what? Your Dad is receiving socialized healthcare at Walter Reed 👍🌈 #VoteHimOut #DumpTrump"""
372,"""Trump uses the racist Pocahontas remark and would not condemn white supremacy.  In fact, he told them to “stand by.”  What the fuck? #Trumpisracist #Debate2020"""
373,"""Oh. My. God. 😳#MelaniaTapes  https://t.co/ETEybvVtk9"""
374,"""What did we learn from the debate? Trump is the leader of the white supremacy terrorist groups. He told them to stand by. Stand by for what? Orders to attack Americans? Trump is a threat to every American and to Americans of color specifically. \n#WhitePowerTrump #TrumpIsRacist"""
375,"""@CindyrayP Wow you are completely lost! Everything you say is actually pointing Trump!\n#shutupman #Trumpisracist"""
376,"""@ProjectLincoln He's going to Walter Reed, as a precautionary measure. Yes, we need a new \"""
377,"""@funder Crazy. F-ing crazy! #BidenHarris2020 #VoteHimOut"""
378,"""We fact-checked the first presidential debate. Here's what you need to know about what was said. https://t.co/qF2wy6xGgA"""
379,"""@in_pubs Volume UP #VoteHimOut https://t.co/0OngBedUwg"""
380,"""What did the president know and when did he know it?"""
381,"""This press conference from the white house physician is a disaster. This is not the time to to dodge basic question and shine this thing up. My god."""
382,"""This\n\nWouldn’t you rather he live long enough to see every idiotic, selfish thing he did crumble in front of his eyes? We’re all counting on you, America. Give the poor bastard what’s coming to him, and #VoteHimOut"""
383,"""I'm guessing here, but I bet @SenatorLoeffler is racist as well. By not denouncing white supremacy you are giving it the ok. #TrumpIsRacist #KellyLoefflerIsRacist"""
384,"""@kylegriffin1 They don't give a shit. You know it's the same approach on how they have mis-handled the pandemic.\n\n#TrumpPandemicFailure \n#VoteHimOut"""
385,"""This is #TrumpsOnlyPlan! For Christ’s sake - #VoteHimOut"""
386,"""Bring on the irony.    #VoteHimOut #IdiotInChief #karmaisabitch"""
387,"""Check out how things look in places like New York and New Jersey as a preview for what Biden’s economy will look like."""
388,"""White Supremacy question! https://t.co/49i45oOhec"""
389,"""Which is exactly what it was. \n#PresidentialDebate2020 \n#TrumpIsRacist \n#WhiteSupremacistInChief \n#AmericaOrTrump"""
390,"""Republicans are so desperate to ram through SCOTUS confirmation less than 2 weeks before election day, that they're willing to literally risk lives to vote before CDC says it is safe. That tells you everything you need to know about the profound illegitimacy of their actions."""
391,"""tRump: Proud Boys stand back and stand by.\n#TrumpIsRacist"""
392,"""Tho being a white supremacist, fascist &amp; raving narcissist, @realDonaldTrump is now among those afflicted w/the #coronavirus #Hoax.  \nAnd despite trying to deny health care to 22M ppl, I do hope he gets his $750 worth of medical care via an unnecessary ventilator, so he can..."""
393,"""@PamelaLaatz1 @FordJohnathan5 @HunterJCullen Nothing will teach him empathy for America. He was installed to destroy us. He's a mafia thug setting up the American branch of Putin's transnational crime syndicate masquerading as government. Pence, chosen by Putin, will carry on if needed. #VoteHimOut"""
394,"""@kylegriffin1 Trump and the GOP see COVID victims are numbers, nothing more or less\n\nThis election is too important to drop the ball, Trump has COVID due to his own fault.\n\nBiden is the leader we need.. let's not forget that Trump needs to go\n\n#VOTE #VoteHimOut"""
395,"""No matter what we say, or do,or scream, cry, punch a wall, Trump is not going to change they way he is. He is a narcissist prick.\nSo , we may ignore him and vote him out \n#VoteHimOut \n#TrumpMeltdown"""
396,"""I’m telling everyone I’m a #LincolnVoter because the choice is clear. America or Trump. You can only choose one. #WeWillVote #VoteHimOut https://t.co/bezQifOK9N"""
397,"""@PeterAlexander Want to end this charade? Vote @JoeBiden and blue down the ticket. This reality show is awful.  We need a functioning government.  #VOTE #VoteHimOut #VoteBlue2020 #RidinWithBidenHarris"""
398,"""@realDonaldTrump Is that the nicest tweet you’ve ever tweeted?! Coronavirus has changed you. #VoteHimOut #DumpTrump"""
399,"""An unarmed black man gets shot by police\nTrumpers: \"""
400,"""@gnuseibeh @realDonaldTrump @JoeBiden You have got to be kidding. Oh yeah. And fuck off. #VoteHimOut"""
401,"""@FrancisBrennan @realDonaldTrump Every poll I've seen has Trumpy by losing it. He lost it when he couldn't denounce white supremacy. I mean like, what the hell. #Trumpisracist"""
402,"""Biden: “Antifa’s an idea, not an organization.”\nTrump: “you gotta be kidding me.” Point: TRUMP"""
403,"""“Stand back and Stand by” #trumpisaracist #trumpisracist   #notmypresident https://t.co/uAyBYZdg66"""
404,"""F*CK TRUMP - Crime After Crime (parody cover) #VOTE #VoteHimOut #BidenHarris2020 https://t.co/D7TuZRWi9I"""
405,"""#whitedisease \nThis disease is literally walking around infecting others \nSICK ASS WHITE PPL \n\n#voteEarly safely \n#votehimout NOW https://t.co/4B4fCks6DR"""
406,"""Attorney General Barr chooses not to quarantine despite direct exposure to persons who have recently tested positive.\n\nThe AG's staff must be delighted with him.\nhttps://t.co/WixMpMpK73"""
407,"""@realDonaldTrump @FLOTUS https://t.co/UAJXSLZtnz"""
408,"""Every elected official needs to say this because it’s true. And say it often. #Trumpisracist #Debates2020"""
409,"""BULLSHIT. He’s hospitalized and has already taken 2 very aggressive therapies — Remdesivir is typically used w patients who are on supplemental oxygen - and 8Mg Ivig therapy is max dose of other therapy, not even approved by FDA yet \n\nCan’t spin this, the man is SICK, VERY ILL"""
410,"""@washingtonpost Yawn.  Trump didn’t denounce white supremacy during a live national debate on television. The only conclusion that we should be tweeting is that he’s unfit for office. PERIOD.   #TrumpIsRacist \n\nAnd here’s the thing, if you’re not denouncing trump’s behavior, you’re a racist too. https://t.co/RZ4OnPLO93"""
